                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0338,                 2.8866,                 1.4953,                0.35867,                0.51778,                0.41536,                0.28231,                0.95966,                 2.7159,                 1.4465,               0.070008,              0.0033324,              0.0033324
                      1,                 1.0992,                 2.4496,                 1.5392,                0.33152,                0.47779,                0.34162,                0.20929,                 1.1686,                 3.5212,                 1.7065,               0.039348,              0.0060059,              0.0060059
                      2,                 1.1628,                 2.3914,                 1.5841,                0.32183,                0.45657,                0.32021,                0.17873,                 1.3057,                 3.4917,                 1.8127,              0.0080283,              0.0080193,              0.0080193
                      3,                 1.2485,                 2.3763,                 1.6582,                0.31512,                0.47675,                0.32603,                0.19212,                 1.2857,                 3.4156,                 1.7492,                0.00703,                0.00703,                0.00703
                      4,                 1.1997,                  2.226,                 1.6278,                0.32014,                  0.448,                0.30695,                0.18777,                 1.2138,                 7.0398,                 1.7146,                0.00703,                0.00703,                0.00703
                      5,                 1.1548,                 2.1174,                 1.5826,                0.37092,                0.51688,                0.37021,                0.23517,                 1.1547,                 3.7131,                 1.6304,                0.00604,                0.00604,                0.00604
                      6,                 1.1116,                 1.9886,                 1.5538,                0.42206,                0.56373,                0.44659,                 0.2905,                 1.0797,                 3.3663,                 1.5634,                0.00505,                0.00505,                0.00505
                      7,                 1.0519,                 1.8645,                 1.5022,                0.38096,                0.58795,                0.40583,                0.26815,                 1.0088,                 3.2684,                 1.4701,                0.00406,                0.00406,                0.00406
                      8,                 1.0059,                 1.7564,                 1.4794,                0.38103,                0.63071,                0.41067,                0.27393,                 1.0118,                 3.6565,                 1.4645,                0.00307,                0.00307,                0.00307
                      9,                0.96114,                 1.6781,                 1.4385,                0.43931,                0.66014,                0.48747,                0.33953,                0.93451,                 3.4038,                 1.4026,                0.00208,                0.00208,                0.00208
